id,author,source,model,n_words,n_sents,mean_sentence_len_chars,sent_len_std,ttr,mean_word_len,punct_density_per_word,function_word_ratio,mean_syllables_per_word
egya_02_lyrikline_repeatedly,egya,human,,133,8,95.62,30.02,0.7143,4.489,0.1579,0.3759,1.594
egya_03_lyrikline_bowing,egya,human,,128,12,64.92,32.44,0.7422,4.836,0.1953,0.3516,1.734
egya_04_lyrikline_iclaim,egya,human,,158,3,294.33,278.37,0.6329,4.348,0.0823,0.4051,1.532
egya_05_lyrikline_sickbed,egya,human,,116,3,239.33,199.88,0.7672,4.793,0.1121,0.319,1.698
egya_06_africanwriter_okigbos_flute,egya,human,,598,13,273.23,331.28,0.5552,4.582,0.0736,0.3896,1.639
egya_07_springs_poor_woods,egya,human,,644,41,90.56,60.74,0.5295,4.649,0.1553,0.4161,1.626
egya_08_shamsrumi_defence_poetry,egya,human,,880,40,129.47,64.59,0.4364,4.763,0.1557,0.4239,1.703
egya_09_africanwriter_interview,egya,human,,708,56,71.16,43.06,0.4393,4.524,0.1794,0.4251,1.654
egya_10_africanwriter_publishers,egya,human,,849,29,180.97,85.23,0.5077,5.026,0.1802,0.3781,1.828
egya_poem_01_do_you_know,egya,human,,172,13,70.54,19.64,0.6163,4.145,0.1395,0.4593,1.535
shittu_01_berkeley_metaphor,shittu,human,,520,31,125.74,80.34,0.5038,5.665,0.2519,0.325,2.063
shittu_02_prague_intro,shittu,human,,567,30,130.97,63.62,0.5168,5.559,0.1728,0.3563,2.019
shittu_03_brittlepaper_ana,shittu,human,,381,18,141.11,62.1,0.5984,5.32,0.1339,0.3045,1.95
shittu_04_thisage_ana,shittu,human,,586,37,103.35,84.46,0.5648,5.288,0.1604,0.3208,1.974
shittu_05_brittlepaper_shortlist,shittu,human,,536,15,234,276.6,0.4776,5.244,0.1138,0.291,1.942
shittu_06_dailytrust_ana,shittu,human,,403,17,144.88,89.32,0.5931,4.742,0.1638,0.3127,1.69
nex-n2.5-mini__egya__02,egya,llm,nex-n2.5-mini,29,1,158,0.0,0.8966,4.379,0.1034,0.4138,1.517
nex-n2.5-mini__egya__03,egya,llm,nex-n2.5-mini,24,1,125,0.0,0.7917,4.167,0.0833,0.375,1.417
nex-n2.5-mini__egya__06,egya,llm,nex-n2.5-mini,121,2,323.5,141.5,0.6612,4.264,0.0992,0.4711,1.471
nex-n2.5-mini__egya__08,egya,llm,nex-n2.5-mini,112,3,194.67,134.7,0.7411,4.107,0.1339,0.4464,1.339
nex-n2.5-mini__shittu__00,shittu,llm,nex-n2.5-mini,307,14,137,52.79,0.6124,5.085,0.2085,0.3876,1.893
nex-n2.5-mini__shittu__02,shittu,llm,nex-n2.5-mini,342,16,119.56,56.03,0.5819,4.503,0.1374,0.3889,1.547
nex-n2.5-mini__shittu__03,shittu,llm,nex-n2.5-mini,228,9,151.22,93.01,0.6667,4.825,0.1842,0.3772,1.746
nex-n2.5-mini__shittu__05,shittu,llm,nex-n2.5-mini,203,9,130.11,78.45,0.6453,4.665,0.1478,0.4433,1.709
nex-n2.5-mini__shittu__06,shittu,llm,nex-n2.5-mini,113,6,109.33,65.61,0.6372,4.708,0.1504,0.4779,1.655
nex-n2.5-mini__shittu__07,shittu,llm,nex-n2.5-mini,134,6,133.67,73.52,0.6791,4.828,0.1866,0.4179,1.776
nex-n2.5-mini__shittu__08,shittu,llm,nex-n2.5-mini,324,15,123,52.41,0.6235,4.605,0.1358,0.4136,1.645
nex-n2.5-pro__egya__01,egya,llm,nex-n2.5-pro,166,4,248.75,102.74,0.741,4.735,0.1265,0.3554,1.488
nex-n2.5-pro__egya__02,egya,llm,nex-n2.5-pro,121,4,167.25,154.56,0.7521,4.347,0.1322,0.3884,1.388
nex-n2.5-pro__egya__04,egya,llm,nex-n2.5-pro,97,3,186.33,156.76,0.7938,4.454,0.1546,0.3814,1.412
nex-n2.5-pro__egya__08,egya,llm,nex-n2.5-pro,147,3,280.33,181.45,0.7619,4.483,0.1293,0.381,1.524
nex-n2.5-pro__shittu__00,shittu,llm,nex-n2.5-pro,173,9,118.89,59.93,0.6936,5.064,0.1618,0.3526,1.832
